id_cliente,ragione_sociale,partita_iva,categoria_prevalente,comune,provincia,sigla,regione
C000001,Acqua Nord S.r.l.,28196001338,Bevande,Coriano,Rimini,RN,Emilia-Romagna
C000002,Oil Group S.p.A.,50265423511,Liquidi,Castiglione di Sicilia,Catania,CT,Sicilia
C000003,Paper Nord S.p.A.,17816184959,Carta,Niardo,Brescia,BS,Lombardia
C000004,Tech Italia S.r.l.,23164752553,Elettronica,Piedimonte Matese,Caserta,CE,Campania
C000005,Casa Group S.r.l.,74835030564,Arredamento,Roccanova,Potenza,PZ,Basilicata
C000006,Drink Nord S.r.l.,77242388496,Bevande,Casaletto Spartano,Salerno,SA,Campania
C000007,Energy Nord S.r.l.,38710122691,Liquidi,Angera,Varese,VA,Lombardia
C000008,Print Sud S.p.A.,11845146270,Carta,Grimaldi,Cosenza,CS,Calabria
C000009,Home Group S.r.l.,58932528809,Arredamento,Casaletto Ceredano,Cremona,CR,Lombardia
C000010,Cemento Italia S.r.l.,53039117182,Materiale edile,Montecorvino Pugliano,Salerno,SA,Campania
C000011,Trend Group S.p.A.,73834657871,Abbigliamento,Berzano di San Pietro,Asti,AT,Piemonte
C000012,Digital Italia S.p.A.,93930103105,Elettronica,Sedico,Belluno,BL,Veneto
C000013,Viva Group S.p.A.,48299737631,Bevande,Omignano,Salerno,SA,Campania
C000014,Fresh Nord S.p.A.,11065133387,Bevande,Cortemaggiore,Piacenza,PC,Emilia-Romagna
C000015,Bio Group S.p.A.,36064746872,Farmaceutico,Chiarano,Treviso,TV,Veneto
C000016,Electro Group S.r.l.,90500978820,Elettronica,Partinico,Palermo,PA,Sicilia
C000017,Port Logistics Group S.r.l.,46193990916,Container,Egna,Bolzano/Bozen,BZ,Trentino-Alto Adige/Südtirol
C000018,Fuel Nord S.p.A.,63462475107,Liquidi,Levate,Bergamo,BG,Lombardia
C000019,Fuel Italia S.r.l.,94251354278,Liquidi,Sonnino,Latina,LT,Lazio
C000020,Home Italia S.p.A.,22411824493,Arredamento,Salento,Salerno,SA,Campania
